<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26230RMFS1,D,07/12/21,000000,94.749,94.9,93.953,94.71,89.068
SU26230RMFS1,D,08/12/21,000000,94.9,94.979,93.731,94.489,89.211
SU26230RMFS1,D,09/12/21,000000,94.124,94.916,94.124,94.9,553.733
SU26230RMFS1,D,10/12/21,000000,94.9,94.979,94.368,94.579,894.559
SU26230RMFS1,D,13/12/21,000000,94.968,94.979,93.976,93.98,113.575
SU26230RMFS1,D,14/12/21,000000,93.9,94.489,93.502,93.8,482.409
SU26230RMFS1,D,15/12/21,000000,94.286,94.689,93.802,94.59,726.339
SU26230RMFS1,D,16/12/21,000000,94.018,95.358,94,94.665,254.338
SU26230RMFS1,D,17/12/21,000000,94.898,95.739,94.599,95.263,365.093
SU26230RMFS1,D,20/12/21,000000,94.851,95.998,94.85,95.429,964.993
SU26230RMFS1,D,21/12/21,000000,95.799,95.99,94.725,94.936,547.708
SU26230RMFS1,D,22/12/21,000000,94.728,95.484,94.728,95.099,1.895.312
SU26230RMFS1,D,23/12/21,000000,95.414,95.414,94.615,94.94,641.447
SU26230RMFS1,D,24/12/21,000000,95.197,95.197,94.67,95.047,139.153
SU26230RMFS1,D,27/12/21,000000,95.2,95.273,94.85,94.95,274.261
SU26230RMFS1,D,28/12/21,000000,94.852,95.157,94.806,95,211.536
SU26230RMFS1,D,29/12/21,000000,95.001,95.146,94.737,94.901,125.357
SU26230RMFS1,D,30/12/21,000000,95.077,95.315,94.851,95.281,42.690
SU26230RMFS1,D,03/01/22,000000,95.435,95.95,95.103,95.5,62.842
SU26230RMFS1,D,04/01/22,000000,95.62,95.776,95.161,95.4,45.210
SU26230RMFS1,D,05/01/22,000000,95.645,95.652,94,95.159,71.809
SU26230RMFS1,D,06/01/22,000000,95.002,95.145,94.466,94.844,23.397
SU26230RMFS1,D,10/01/22,000000,94.846,95.066,94.175,94.255,118.822
SU26230RMFS1,D,11/01/22,000000,94.263,94.45,93.299,93.5,1.826.647
SU26230RMFS1,D,12/01/22,000000,93.795,93.795,93,93.1,539.317
SU26230RMFS1,D,13/01/22,000000,93.051,93.051,90.64,90.81,488.728
SU26230RMFS1,D,14/01/22,000000,91.187,91.298,87.5,89.385,1.051.855
SU26230RMFS1,D,17/01/22,000000,89.879,89.879,87.264,87.9,460.642
SU26230RMFS1,D,18/01/22,000000,88.005,88.499,87.001,88.18,157.003
SU26230RMFS1,D,19/01/22,000000,88.968,89.9,87.763,89.649,170.581
SU26230RMFS1,D,20/01/22,000000,89.897,89.9,88.05,88.7,105.172
SU26230RMFS1,D,21/01/22,000000,89.619,89.619,88.055,88.494,703.197
SU26230RMFS1,D,24/01/22,000000,88.495,88.495,85.4,85.95,2.293.228
SU26230RMFS1,D,25/01/22,000000,86.965,86.965,85.3,85.998,2.422.007
SU26230RMFS1,D,26/01/22,000000,86.374,86.375,85.185,85.473,8.293.224
SU26230RMFS1,D,27/01/22,000000,86.247,87.997,85.473,87.41,1.716.653
SU26230RMFS1,D,28/01/22,000000,87.984,87.984,87.008,87.472,2.641.455
SU26230RMFS1,D,31/01/22,000000,87.905,87.997,87.472,87.7,141.320
SU26230RMFS1,D,01/02/22,000000,87.472,88.477,87.472,88.011,141.117
SU26230RMFS1,D,02/02/22,000000,88.208,88.899,87.904,88.4,400.212
SU26230RMFS1,D,03/02/22,000000,88.955,88.989,87.773,88.079,22.166
SU26230RMFS1,D,04/02/22,000000,87.759,88.993,87.759,88.312,47.139
SU26230RMFS1,D,07/02/22,000000,88.569,88.569,87.598,87.9,23.073
SU26230RMFS1,D,08/02/22,000000,87.507,88.556,87.505,87.969,22.342
SU26230RMFS1,D,09/02/22,000000,87.968,88.398,87.731,88.146,98.769
SU26230RMFS1,D,10/02/22,000000,88.349,88.596,87.489,87.5,102.420
SU26230RMFS1,D,11/02/22,000000,88.144,88.144,84.601,84.901,668.241
SU26230RMFS1,D,14/02/22,000000,85.001,85.99,82.7,83.922,484.583
SU26230RMFS1,D,15/02/22,000000,84.394,85.465,83.896,85.223,449.625
SU26230RMFS1,D,16/02/22,000000,85.003,86.248,85.003,86.15,298.268
SU26230RMFS1,D,17/02/22,000000,85.99,86.088,84.802,85.2,205.833
SU26230RMFS1,D,18/02/22,000000,85.45,85.789,84.513,84.701,351.403
SU26230RMFS1,D,21/02/22,000000,85.469,85.75,79.373,80.058,2.135.130
SU26230RMFS1,D,22/02/22,000000,79.301,81.183,76.75,78.717,314.853
SU26230RMFS1,D,24/02/22,000000,76,76.05,66.82,66.82,78.575
SU26230RMFS1,D,25/02/22,000000,66,72.398,65.1,70.965,1.196.916
SU26230RMFS1,D,21/03/22,000000,58.99,64,49.11,62.5,771.219
SU26230RMFS1,D,22/03/22,000000,64.59,66.35,63.2,65.661,352.236
SU26230RMFS1,D,23/03/22,000000,66.044,66.109,62.715,63.9,254.358
SU26230RMFS1,D,24/03/22,000000,62.596,64.994,62,64.629,78.379
SU26230RMFS1,D,25/03/22,000000,65.498,66.5,64.087,64.768,126.855
SU26230RMFS1,D,28/03/22,000000,64.769,64.899,63.847,64.541,269.968
SU26230RMFS1,D,29/03/22,000000,64.541,68.5,64.3,68.09,217.857
SU26230RMFS1,D,30/03/22,000000,68.468,73.074,67.829,72.449,217.526
SU26230RMFS1,D,31/03/22,000000,73.497,73.548,71.312,73.548,866.474
SU26230RMFS1,D,01/04/22,000000,73.54,73.846,72.81,73,351.866
SU26230RMFS1,D,04/04/22,000000,73.99,73.998,71,71.599,203.635
SU26230RMFS1,D,05/04/22,000000,71.988,74,71,71.59,220.246
SU26230RMFS1,D,06/04/22,000000,71.051,71.74,70.041,70.415,107.629
SU26230RMFS1,D,07/04/22,000000,70.557,74,70.557,72.349,237.005
SU26230RMFS1,D,08/04/22,000000,72.768,77.75,72.007,77.75,341.330
SU26230RMFS1,D,11/04/22,000000,77.99,78.999,76,78.5,492.119
SU26230RMFS1,D,12/04/22,000000,78.4,78.998,77.549,78.412,160.198
SU26230RMFS1,D,13/04/22,000000,78.002,80,77.801,79.894,149.223
SU26230RMFS1,D,14/04/22,000000,80.999,80.999,78.855,79.001,548.497
SU26230RMFS1,D,15/04/22,000000,79.002,79.696,77.05,78.945,387.147
SU26230RMFS1,D,18/04/22,000000,79.3,80,78.675,79.999,584.434
SU26230RMFS1,D,19/04/22,000000,80.999,82.5,79.101,82.11,628.848
SU26230RMFS1,D,20/04/22,000000,82.388,83.9,82.012,83.05,1.302.679
SU26230RMFS1,D,21/04/22,000000,83.401,84.659,83.401,84.26,742.091
SU26230RMFS1,D,22/04/22,000000,84.801,84.801,83.201,83.448,241.716
SU26230RMFS1,D,25/04/22,000000,83.501,84.499,81.86,82.5,742.715
SU26230RMFS1,D,26/04/22,000000,84.3,84.3,81.5,82.514,678.996
